customer_id,full_name,email,address,city,state,timestamp,source_system
30001,Customer 30001,customer30001@example.com,4110 Oak Ave,Cleveland,IL,2025-02-26T10:18:47.538-07:00,Customer Data
30002,Customer 30002,customer30002@example.com,2335 Oak Ave,Charlotte,MA,2025-02-26T10:18:47.538-07:00,Customer Data
30003,Customer 30003,customer30003@example.com,4350 1st Ave,New York,TX,2025-02-26T10:18:47.538-07:00,Customer Data
30004,Customer 30004,customer30004@example.com,7928 Maple Lane,Seattle,NC,2025-02-26T10:18:47.538-07:00,Customer Data
30005,Customer 30005,customer30005@example.com,8736 1st Ave,Boston,NC,2025-02-26T10:18:47.538-07:00,Customer Data
30006,Customer 30006,customer30006@example.com,4381 Oak Ave,Cleveland,NC,2025-02-26T10:18:47.538-07:00,Customer Data
30007,Customer 30007,customer30007@example.com,4809 Main St,Los Angeles,OH,2025-02-26T10:18:47.538-07:00,Customer Data
30008,Customer 30008,customer30008@example.com,5091 Oak Ave,New York,FL,2025-02-26T10:18:47.538-07:00,Customer Data
30009,Customer 30009,customer30009@example.com,129 Pine Rd,New York,OH,2025-02-26T10:18:47.538-07:00,Customer Data
30010,Customer 30010,customer30010@example.com,2498 1st Ave,Cleveland,MA,2025-02-26T10:18:47.538-07:00,Customer Data
30011,Customer 30011,customer30011@example.com,8157 Maple Lane,Boston,NC,2025-02-26T10:18:47.538-07:00,Customer Data
30012,Customer 30012,customer30012@example.com,9854 1st Ave,Cleveland,TX,2025-02-26T10:18:47.538-07:00,Customer Data
30013,Customer 30013,customer30013@example.com,3582 Oak Ave,Atlanta,TX,2025-02-26T10:18:47.538-07:00,Customer Data
30014,Customer 30014,customer30014@example.com,4505 Main St,Houston,GA,2025-02-26T10:18:47.538-07:00,Customer Data
30015,Customer 30015,customer30015@example.com,35 Maple Lane,Boston,TX,2025-02-26T10:18:47.538-07:00,Customer Data
30016,Customer 30016,customer30016@example.com,9512 Oak Ave,Charlotte,FL,2025-02-26T10:18:47.538-07:00,Customer Data
30017,Customer 30017,customer30017@example.com,6068 Main St,Seattle,NC,2025-02-26T10:18:47.538-07:00,Customer Data
30018,Customer 30018,customer30018@example.com,9476 Pine Rd,Miami,OH,2025-02-26T10:18:47.538-07:00,Customer Data
30019,Customer 30019,customer30019@example.com,3709 Maple Lane,Cleveland,MA,2025-02-26T10:18:47.538-07:00,Customer Data
30020,Customer 30020,customer30020@example.com,7915 Main St,Seattle,TX,2025-02-26T10:18:47.538-07:00,Customer Data
30021,Customer 30021,customer30021@example.com,1027 Pine Rd,Houston,NY,2025-02-26T10:18:47.538-07:00,Customer Data
30022,Customer 30022,customer30022@example.com,127 Pine Rd,Miami,NY,2025-02-26T10:18:47.538-07:00,Customer Data
30023,Customer 30023,customer30023@example.com,227 1st Ave,Seattle,FL,2025-02-26T10:18:47.538-07:00,Customer Data
30024,Customer 30024,customer30024@example.com,6951 Pine Rd,Miami,NY,2025-02-26T10:18:47.538-07:00,Customer Data
30025,Customer 30025,customer30025@example.com,9281 Maple Lane,Houston,GA,2025-02-26T10:18:47.538-07:00,Customer Data
30026,Customer 30026,customer30026@example.com,2283 Main St,Seattle,TX,2025-02-26T10:18:47.538-07:00,Customer Data
30027,Customer 30027,customer30027@example.com,8244 Maple Lane,Chicago,IL,2025-02-26T10:18:47.538-07:00,Customer Data
30028,Customer 30028,customer30028@example.com,9779 1st Ave,Atlanta,NC,2025-02-26T10:18:47.538-07:00,Customer Data
30029,Customer 30029,customer30029@example.com,8850 Oak Ave,Charlotte,IL,2025-02-26T10:18:47.538-07:00,Customer Data
30030,Customer 30030,customer30030@example.com,5258 Main St,Boston,OH,2025-02-26T10:18:47.538-07:00,Customer Data
30031,Customer 30031,customer30031@example.com,4529 Pine Rd,Boston,MA,2025-02-26T10:18:47.538-07:00,Customer Data
